'OHSen','#OHSen',('OH' AND 'Brown'),('ohio' AND 'Brown'),('OH' AND 'Renacci'),('ohio' AND 'Renacci')
'INSen','#INSen',('IN' AND 'Donnelly'),('indiana' AND 'Donnelly'),('IN' AND 'Braun'),('indiana' AND 'Braun')
'NDSen','#NDSen',('ND' AND 'Heitkamp'),('North Dakota' AND 'Heitkamp'),('ND' AND 'Cramer'),('North Dakota' AND 'Cramer')
'WVSen','#WVSen',('WV' AND 'Manchin'),('West Virginia' AND 'Manchin'),('WV' AND 'Morrisey'),('West Virginia' AND 'Morrisey')
'NVSen','#NVSen',('NV' AND 'Rosen'),('Nevada' AND 'Rosen'),('NV' AND 'Heller'),('Nevada' AND 'Heller')
'TXSen','#TXSen',('TX' AND 'O’Rourke'),('Texas' AND '''O’Rourke'''),('TX' AND 'Cruz'),('Texas' AND 'Cruz')
'NESen','#NESen',('NE' AND 'Raybould'),('Nebraska' AND 'Raybould'),('NE' AND 'Fischer'),('Nebraska' AND 'Fischer')
'MSSen','#MSSen',('MS' AND 'Baria'),('Mississippi' AND 'Baria'),('MS' AND 'Wicker'),('Mississippi' AND 'Wicker')
'MTSen','#MTSen',('MT' AND 'Tester'),('Montana' AND 'Tester'),('MT' AND 'Rosendale'),('Montana' AND 'Rosendale')
'NJSen','#NJSen',('NJ' AND 'Menendez'),('New Jersey' AND 'Menendez'),('NJ' AND 'Hugin'),('New Jersey' AND 'Hugin')
'PASen','#PASen',('PA' AND 'Casey'),('Pennsylvania' AND 'Casey'),('PA' AND 'Barletta'),('Pennsylvania' AND 'Barletta')
'TNSen','#TNSen',('TN' AND 'Bredesen'),('Tennessee' AND 'Bredesen'),('TN' AND 'Blackburn'),('Tennessee' AND 'Blackburn')
'MISen','#MISen',('MI' AND 'Stabenow'),('Michigan' AND 'Stabenow'),('MI' AND 'James'),('Michigan' AND 'James')
'MOSen','#MOSen',('MO' AND 'McCaskill'),('Missouri' AND 'McCaskill'),('MO' AND 'Hawley'),('Missouri' AND 'Hawley')
'MNSen','#MNSen',('MN' AND 'Smith'),('Minnesota' AND 'Smith'),('MN' AND 'Housley'),('Minnesota' AND 'Housley')
'WISen','#MOSen',('WI' AND 'Baldwin'),('Wisconsin' AND 'Baldwin'),('WI' AND 'Vukmir'),('Wisconsin' AND 'Vukmir')
'AZSen','#AZSen',('AZ' AND 'Sinema'),('Arizona' AND 'Sinema'),('AZ' AND 'McSally'),('Arizona' AND 'McSally')
'FLSen','#FLSen',('FL' AND 'Nelson'),('Florida' AND 'Nelson'),('FL' AND 'Scott'),('Florida' AND 'Scott')
